Source Name,Sample Name,Characteristics: Organism,Characteristics: Genotype,Characteristics: Age at Launch,Parameter Value: habitat
RR-23_F1,RR23_R-EDL_FLT_F1_techrep1,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_F1,RR23_R-EDL_FLT_F1_techrep2,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_F2,RR23_R-EDL_FLT_F2,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_F3,RR23_R-EDL_FLT_F3,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_F4,RR23_R-EDL_FLT_F4,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_F5,RR23_R-EDL_FLT_F5,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_F6,RR23_R-EDL_FLT_F6,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_F7,RR23_R-EDL_FLT_F7,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_F8,RR23_R-EDL_FLT_F8,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_F9,RR23_R-EDL_FLT_F9,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_GC1,RR23_R-EDL_GC_G1_techrep1,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_GC1,RR23_R-EDL_GC_G1_techrep2,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_GC2,RR23_R-EDL_GC_G2,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_GC3,RR23_R-EDL_GC_G3,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_GC4,RR23_R-EDL_GC_G4,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_GC5,RR23_R-EDL_GC_G5,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_GC6,RR23_R-EDL_GC_G6,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_GC7,RR23_R-EDL_GC_G7,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_GC8,RR23_R-EDL_GC_G8,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_GC9,RR23_R-EDL_GC_G9,Mus musculus,Wild Type,16-17 week,Rodent Flight Hardware (Transporter and Habitat)
RR-23_V1,RR23_R-EDL_VIV_V1_techrep1,Mus musculus,Wild Type,16-17 week,Vivarium Cage
RR-23_V1,RR23_R-EDL_VIV_V1_techrep2,Mus musculus,Wild Type,16-17 week,Vivarium Cage
RR-23_V2,RR23_R-EDL_VIV_V2,Mus musculus,Wild Type,16-17 week,Vivarium Cage
RR-23_V3,RR23_R-EDL_VIV_V3,Mus musculus,Wild Type,16-17 week,Vivarium Cage
RR-23_V4,RR23_R-EDL_VIV_V4,Mus musculus,Wild Type,16-17 week,Vivarium Cage
RR-23_V5,RR23_R-EDL_VIV_V5,Mus musculus,Wild Type,16-17 week,Vivarium Cage
RR-23_V6,RR23_R-EDL_VIV_V6,Mus musculus,Wild Type,16-17 week,Vivarium Cage
RR-23_V7,RR23_R-EDL_VIV_V7,Mus musculus,Wild Type,16-17 week,Vivarium Cage
RR-23_V8,RR23_R-EDL_VIV_V8,Mus musculus,Wild Type,16-17 week,Vivarium Cage
RR-23_V9,RR23_R-EDL_VIV_V9,Mus musculus,Wild Type,16-17 week,Vivarium Cage
